t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,2317,2916,0.794582,2.514244,14646.732211,,1.0,1.0,1.0,1.0
1,1,0,2301,2970,0.774747,2.52531,14673.910479,0.999748,0.993095,1.018519,1.004401,1.001856
2,1,0,1765,2256,0.782358,2.845057,14286.521891,0.999898,0.761761,0.773663,1.131576,0.975407
3,1,0,1429,1849,0.77285,3.169342,14353.915543,0.999999,0.616746,0.634088,1.260555,0.980008
4,1,0,1243,1560,0.796795,3.388273,14270.129652,0.999992,0.53647,0.534979,1.347631,0.974288
5,1,0,1107,1406,0.78734,3.60736,14405.445009,0.999953,0.477773,0.482167,1.434769,0.983526
6,1,0,1009,1296,0.778549,3.826483,14773.748144,0.99993,0.435477,0.444444,1.521922,1.008672
7,1,0,902,1190,0.757983,4.044785,14756.981343,0.999935,0.389297,0.408093,1.608748,1.007527
8,0,1,815,1024,0.795898,4.263301,14813.22364,0.99997,0.351748,0.351166,1.695659,1.011367
9,0,1,751,961,0.781478,4.48269,15090.975777,1.000162,0.324126,0.329561,1.782918,1.030331
10,0,1,692,900,0.768889,4.701447,15295.697063,1.000056,0.298662,0.308642,1.869925,1.044308
11,0,1,635,783,0.810983,4.919826,15369.97401,1.000096,0.274061,0.268519,1.956781,1.049379
12,0,1,585,756,0.77381,5.138726,15447.803911,1.000085,0.252482,0.259259,2.043845,1.054693
